id,dutch
ko-0001,ik
ko-0002,ik beleefd
ko-0003,jij
ko-0004,u
ko-0005,wij; ons
ko-0006,iedereen
ko-0007,hij; die
ko-0008,zij
ko-0009,persoon
ko-0010,man
ko-0011,vrouw
ko-0012,kind
ko-0013,vriend
ko-0014,familie
ko-0015,ouders
ko-0016,vader
ko-0017,moeder
ko-0018,oudere broer voor man
ko-0019,oudere broer voor vrouw
ko-0020,oudere zus voor man
ko-0021,oudere zus voor vrouw
ko-0022,jongere broer of zus
ko-0023,zoon
ko-0024,dochter
ko-0025,echtgenoot
ko-0026,echtgenote
ko-0027,leraar
ko-0028,student
ko-0029,dokter
ko-0030,naam
ko-0031,leeftijd
ko-0032,verjaardag
ko-0033,geboorteplaats
ko-0034,land
ko-0035,Korea
ko-0036,Japan
ko-0037,Verenigde Staten
ko-0038,dit ding
ko-0039,dat ding
ko-0040,dat ding daar
ko-0041,hier
ko-0042,daar
ko-0043,daar ginds
ko-0044,wat
ko-0045,wie
ko-0046,wanneer
ko-0047,waar
ko-0048,waarom
ko-0049,hoe
ko-0050,hoeveel
ko-0051,hoeveel
ko-0052,ja
ko-0053,nee
ko-0054,hallo; dag
ko-0055,dank u
ko-0056,sorry
ko-0057,het is oké
ko-0058,alsjeblieft
ko-0059,opnieuw
ko-0060,nu
ko-0061,vandaag
ko-0062,gisteren
ko-0063,morgen
ko-0064,overmorgen
ko-0065,ochtend; ontbijt
ko-0066,lunch; middag
ko-0067,avond; avondeten
ko-0068,nacht
ko-0069,overdag
ko-0070,dageraad
ko-0071,tijd; uur
ko-0072,minuut
ko-0073,seconde
ko-0074,dag
ko-0075,week
ko-0076,maand; maan
ko-0077,jaar
ko-0078,maandag
ko-0079,dinsdag
ko-0080,woensdag
ko-0081,donderdag
ko-0082,vrijdag
ko-0083,zaterdag
ko-0084,zondag
ko-0085,lente
ko-0086,zomer
ko-0087,herfst
ko-0088,winter
ko-0089,voormiddag
ko-0090,namiddag
ko-0091,weekend
ko-0092,weekdag
ko-0093,vrije dag
ko-0094,eerst; van tevoren
ko-0095,later
ko-0096,altijd
ko-0097,soms
ko-0098,vaak
ko-0099,snel
ko-0100,langzaam
ko-0101,één
ko-0102,twee
ko-0103,drie
ko-0104,vier
ko-0105,vijf
ko-0106,zes
ko-0107,zeven
ko-0108,acht
ko-0109,negen
ko-0110,tien
ko-0111,honderd
ko-0112,duizend
ko-0113,tienduizend
ko-0114,eerste
ko-0115,tweede
ko-0116,een beetje
ko-0117,veel
ko-0118,alles; iedereen
ko-0119,alles
ko-0120,helft
ko-0121,teller voor dingen
ko-0122,teller voor mensen
ko-0123,keer; nummer
ko-0124,won
ko-0125,geld
ko-0126,prijs
ko-0127,gratis
ko-0128,duur
ko-0129,goedkoop
ko-0130,veel zijn
ko-0131,weinig zijn
ko-0132,groot
ko-0133,klein
ko-0134,lang
ko-0135,kort
ko-0136,hoog
ko-0137,laag
ko-0138,zwaar
ko-0139,licht
ko-0140,snel
ko-0141,eten
ko-0142,rijst; maaltijd
ko-0143,water
ko-0144,thee; auto
ko-0145,koffie
ko-0146,melk
ko-0147,sap
ko-0148,alcohol
ko-0149,bier
ko-0150,vlees
ko-0151,rundvlees
ko-0152,varkensvlees
