id,korean,english,japanese,dutch,pos,topic,notes
ko-0001,나,I; me,私,ik; mij,pronoun,people,
ko-0002,저,I; me polite,私,ik; mij (beleefd),pronoun,people,
ko-0003,너,you,君,jij; je,pronoun,people,
ko-0004,당신,you,あなた,u; jij,pronoun,people,
ko-0005,우리,we; our,私たち,wij; ons/onze,pronoun,people,
ko-0006,여러분,everyone,皆さん,iedereen,pronoun,people,
ko-0007,그,he; that,彼;その,hij; die; dat,pronoun,people,
ko-0008,그녀,she,彼女,zij; haar,pronoun,people,
ko-0009,사람,person,人,persoon,noun,people,
ko-0010,남자,man,男,man,noun,people,
ko-0011,여자,woman,女,vrouw,noun,people,
ko-0012,아이,child,子ども,kind,noun,people,
ko-0013,친구,friend,友達,vriend,noun,people,
ko-0014,가족,family,家族,familie; gezin,noun,people,
ko-0015,부모,parents,両親,ouders,noun,people,
ko-0016,아버지,father,父,vader,noun,people,
ko-0017,어머니,mother,母,moeder,noun,people,
ko-0018,형,older brother for male,兄,oudere broer voor mannelijke spreker,noun,people,
ko-0019,오빠,older brother for female,兄,oudere broer voor vrouwelijke spreker,noun,people,
ko-0020,누나,older sister for male,姉,oudere zus voor mannelijke spreker,noun,people,
ko-0021,언니,older sister for female,姉,oudere zus voor vrouwelijke spreker,noun,people,
ko-0022,동생,younger sibling,弟妹,jongere broer of zus,noun,people,
ko-0023,아들,son,息子,zoon,noun,people,
ko-0024,딸,daughter,娘,dochter,noun,people,
ko-0025,남편,husband,夫,echtgenoot; man,noun,people,
ko-0026,아내,wife,妻,echtgenote; vrouw,noun,people,
ko-0027,선생님,teacher,先生,leraar; docent,noun,people,
ko-0028,학생,student,学生,student; leerling,noun,people,
ko-0029,의사,doctor,医者,dokter; arts,noun,people,
ko-0030,이름,name,名前,naam,noun,people,
ko-0031,나이,age,年齢,leeftijd,noun,people,
ko-0032,생일,birthday,誕生日,verjaardag,noun,people,
ko-0033,고향,hometown,故郷,geboorteplaats; thuisstad,noun,people,
ko-0034,나라,country,国,land,noun,place,
ko-0035,한국,Korea,韓国,Korea,noun,place,
ko-0036,일본,Japan,日本,Japan,noun,place,
ko-0037,미국,United States,アメリカ,Verenigde Staten,noun,place,
ko-0038,이것,this thing,これ,dit ding,pronoun,basic,
ko-0039,그것,that thing,それ,dat ding,pronoun,basic,
ko-0040,저것,that thing over there,あれ,dat ding daar,pronoun,basic,
ko-0041,여기,here,ここ,hier,pronoun,basic,
ko-0042,거기,there,そこ,daar,pronoun,basic,
ko-0043,저기,over there,あそこ,daarginds,pronoun,basic,
ko-0044,무엇,what,何,wat,pronoun,basic,
ko-0045,누구,who,誰,wie,pronoun,basic,
ko-0046,언제,when,いつ,wanneer,adverb,basic,
ko-0047,어디,where,どこ,waar,adverb,basic,
ko-0048,왜,why,なぜ,waarom,adverb,basic,
ko-0049,어떻게,how,どうやって,hoe,adverb,basic,
ko-0050,얼마,how much,いくら,hoeveel,adverb,basic,
ko-0051,몇,how many,いくつ,hoeveel,determiner,basic,
ko-0052,네,yes,はい,ja,interjection,basic,
ko-0053,아니요,no,いいえ,nee,interjection,basic,
ko-0054,안녕,hello; goodbye,こんにちは;さようなら,hallo; dag,interjection,basic,
ko-0055,감사합니다,thank you,ありがとうございます,dank u; bedankt,phrase,basic,
ko-0056,죄송합니다,I am sorry,すみません,het spijt me,phrase,basic,
ko-0057,괜찮아요,it is okay,大丈夫です,het is oké,phrase,basic,
ko-0058,제발,please,どうか,alstublieft; alsjeblieft,adverb,basic,
ko-0059,다시,again,また,opnieuw; weer,adverb,basic,
ko-0060,지금,now,今,nu,adverb,time,
ko-0061,오늘,today,今日,vandaag,noun,time,
ko-0062,어제,yesterday,昨日,gisteren,noun,time,
ko-0063,내일,tomorrow,明日,morgen,noun,time,
ko-0064,모레,the day after tomorrow,明後日,overmorgen,noun,time,
ko-0065,아침,morning; breakfast,朝;朝食,ochtend; ontbijt,noun,time,
ko-0066,점심,lunch; noon,昼食;昼,lunch; middag,noun,time,
ko-0067,저녁,evening; dinner,夕方;夕食,avond; avondeten,noun,time,
ko-0068,밤,night,夜,nacht,noun,time,
ko-0069,낮,daytime,昼間,dagtijd,noun,time,
ko-0070,새벽,dawn,明け方,dageraad,noun,time,
ko-0071,시간,time; hour,時間,tijd; uur,noun,time,
ko-0072,분,minute,分,minuut,noun,time,
ko-0073,초,second,秒,seconde,noun,time,
ko-0074,날,day,日,dag,noun,time,
ko-0075,주,week,週,week,noun,time,
ko-0076,달,month; moon,月,maand; maan,noun,time,
ko-0077,년,year,年,jaar,noun,time,
ko-0078,월요일,Monday,月曜日,maandag,noun,time,
ko-0079,화요일,Tuesday,火曜日,dinsdag,noun,time,
ko-0080,수요일,Wednesday,水曜日,woensdag,noun,time,
ko-0081,목요일,Thursday,木曜日,donderdag,noun,time,
ko-0082,금요일,Friday,金曜日,vrijdag,noun,time,
ko-0083,토요일,Saturday,土曜日,zaterdag,noun,time,
ko-0084,일요일,Sunday,日曜日,zondag,noun,time,
ko-0085,봄,spring,春,lente,noun,time,
ko-0086,여름,summer,夏,zomer,noun,time,
ko-0087,가을,autumn,秋,herfst,noun,time,
ko-0088,겨울,winter,冬,winter,noun,time,
ko-0089,오전,morning before noon,午前,voormiddag,noun,time,
ko-0090,오후,afternoon,午後,middag; namiddag,noun,time,
ko-0091,주말,weekend,週末,weekend,noun,time,
ko-0092,평일,weekday,平日,werkdag,noun,time,
ko-0093,휴일,holiday,休日,feestdag; vakantie,noun,time,
ko-0094,먼저,first; before,先に,eerst; ervoor,adverb,time,
ko-0095,나중에,later,後で,later,adverb,time,
ko-0096,항상,always,いつも,altijd,adverb,time,
ko-0097,가끔,sometimes,時々,soms,adverb,time,
ko-0098,자주,often,よく,vaak,adverb,time,
ko-0099,빨리,quickly,早く,snel,adverb,time,
ko-0100,천천히,slowly,ゆっくり,langzaam,adverb,time,
ko-0101,하나,one,一つ,één,numeral,number,
ko-0102,둘,two,二つ,twee,numeral,number,
ko-0103,셋,three,三つ,drie,numeral,number,
ko-0104,넷,four,四つ,vier,numeral,number,
ko-0105,다섯,five,五つ,vijf,numeral,number,
ko-0106,여섯,six,六つ,zes,numeral,number,
ko-0107,일곱,seven,七つ,zeven,numeral,number,
ko-0108,여덟,eight,八つ,acht,numeral,number,
ko-0109,아홉,nine,九つ,negen,numeral,number,
ko-0110,열,ten,十,tien,numeral,number,homonym of fever
ko-0111,백,hundred,百,honderd,numeral,number,
ko-0112,천,thousand,千,duizend,numeral,number,
ko-0113,만,ten thousand,万,tienduizend,numeral,number,
ko-0114,첫째,first,第一,eerste,numeral,number,
ko-0115,둘째,second,第二,tweede,numeral,number,
ko-0116,조금,a little,少し,een beetje,adverb,quantity,
ko-0117,많이,much; many,たくさん,veel,adverb,quantity,
ko-0118,모두,all; everyone,全部;皆,alles; iedereen,noun,quantity,
ko-0119,전부,all,全部,alles,noun,quantity,
ko-0120,반,half,半分,helft,noun,quantity,
ko-0121,개,item counter,個,teller voor stuks,counter,quantity,homonym of dog
ko-0122,명,people counter,名,teller voor personen,counter,quantity,
ko-0123,번,time counter; number,回;番,teller voor keren; nummer,counter,quantity,
ko-0124,원,won,ウォン,won,noun,money,
ko-0125,돈,money,お金,geld,noun,money,
ko-0126,값,price,価格,prijs,noun,money,
ko-0127,무료,free of charge,無料,gratis,noun,money,
ko-0128,비싸다,expensive,高い,duur,adjective,quality,
ko-0129,싸다,cheap,安い,goedkoop,adjective,quality,
ko-0130,많다,many; much,多い,veel,adjective,quantity,
ko-0131,적다,few; little,少ない,weinig,adjective,quantity,
ko-0132,크다,big,大きい,groot,adjective,quality,
ko-0133,작다,small,小さい,klein,adjective,quality,
ko-0134,길다,long,長い,lang,adjective,quality,
ko-0135,짧다,short,短い,kort,adjective,quality,
ko-0136,높다,high,高い,hoog,adjective,quality,
ko-0137,낮다,low,低い,laag,adjective,quality,
ko-0138,무겁다,heavy,重い,zwaar,adjective,quality,
ko-0139,가볍다,light weight,軽い,licht (gewicht),adjective,quality,
ko-0140,빠르다,fast,速い,snel,adjective,quality,
ko-0141,음식,food,食べ物,eten; voedsel,noun,food,
ko-0142,밥,rice; meal,ご飯,rijst; maaltijd,noun,food,
ko-0143,물,water,水,water,noun,food,
ko-0144,차,tea; car,お茶;車,thee; auto,noun,food,
ko-0145,커피,coffee,コーヒー,koffie,noun,food,
ko-0146,우유,milk,牛乳,melk,noun,food,
ko-0147,주스,juice,ジュース,sap,noun,food,
ko-0148,술,alcohol,お酒,alcohol,noun,food,
ko-0149,맥주,beer,ビール,bier,noun,food,
ko-0150,고기,meat,肉,vlees,noun,food,
ko-0151,소고기,beef,牛肉,rundvlees,noun,food,
ko-0152,돼지고기,pork,豚肉,varkensvlees,noun,food,
ko-0153,닭고기,chicken meat,鶏肉,kippenvlees,noun,food,
ko-0154,생선,fish as food,魚,vis (als eten),noun,food,
ko-0155,계란,egg,卵,ei,noun,food,
ko-0156,빵,bread,パン,brood,noun,food,
ko-0157,떡,rice cake,餅,rijstcake,noun,food,
ko-0158,국,soup,スープ,soep,noun,food,
ko-0159,김치,kimchi,キムチ,kimchi,noun,food,
ko-0160,라면,ramen,ラーメン,ramen,noun,food,
ko-0161,국수,noodles,麺,noedels,noun,food,
ko-0162,과일,fruit,果物,fruit,noun,food,
ko-0163,사과,apple,りんご,appel,noun,food,
ko-0164,바나나,banana,バナナ,banaan,noun,food,
ko-0165,오렌지,orange,オレンジ,sinaasappel,noun,food,
ko-0166,딸기,strawberry,いちご,aardbei,noun,food,
ko-0167,포도,grapes,ぶどう,druiven,noun,food,
ko-0168,채소,vegetables,野菜,groenten,noun,food,
ko-0169,감자,potato,じゃがいも,aardappel,noun,food,
ko-0170,고구마,sweet potato,さつまいも,zoete aardappel,noun,food,
ko-0171,당근,carrot,にんじん,wortel,noun,food,
ko-0172,양파,onion,玉ねぎ,ui,noun,food,
ko-0173,마늘,garlic,にんにく,knoflook,noun,food,
ko-0174,소금,salt,塩,zout,noun,food,
ko-0175,설탕,sugar,砂糖,suiker,noun,food,
ko-0176,맛,taste,味,smaak,noun,food,
ko-0177,달다,sweet,甘い,zoet,adjective,food,
ko-0178,짜다,salty,塩辛い,zout,adjective,food,
ko-0179,맵다,spicy,辛い,pittig,adjective,food,
ko-0180,쓰다,bitter,苦い,bitter,adjective,food,taste adjective
ko-0181,시다,sour,酸っぱい,zuur,adjective,food,
ko-0182,맛있다,delicious,おいしい,lekker,adjective,food,
ko-0183,맛없다,not tasty,おいしくない,niet lekker,adjective,food,
ko-0184,배고프다,hungry,お腹がすいた,hongerig,adjective,food,
ko-0185,목마르다,thirsty,喉が渇いた,dorstig,adjective,food,
ko-0186,먹다,to eat,食べる,eten,verb,food,
ko-0187,마시다,to drink,飲む,drinken,verb,food,
ko-0188,요리하다,to cook,料理する,koken,verb,food,
ko-0189,주문하다,to order,注文する,bestellen,verb,food,
ko-0190,사다,to buy,買う,kopen,verb,shopping,
ko-0191,팔다,to sell,売る,verkopen,verb,shopping,
ko-0192,식당,restaurant,レストラン,restaurant,noun,food,
ko-0193,카페,cafe,カフェ,café,noun,food,
ko-0194,메뉴,menu,メニュー,menu,noun,food,
ko-0195,접시,plate,皿,bord,noun,food,
ko-0196,컵,cup,コップ,kopje; beker,noun,food,
ko-0197,숟가락,spoon,スプーン,lepel,noun,food,
ko-0198,젓가락,chopsticks,箸,eetstokjes,noun,food,
ko-0199,냉장고,refrigerator,冷蔵庫,koelkast,noun,home,
ko-0200,부엌,kitchen,台所,keuken,noun,home,
ko-0201,집,house; home,家,huis; thuis,noun,home,
ko-0202,방,room,部屋,kamer,noun,home,
ko-0203,거실,living room,居間,woonkamer,noun,home,
ko-0204,화장실,restroom; bathroom,トイレ;浴室,toilet; badkamer,noun,home,
ko-0205,문,door,ドア,deur,noun,home,
ko-0206,창문,window,窓,raam,noun,home,
ko-0207,바닥,floor,床,vloer,noun,home,
ko-0208,벽,wall,壁,muur,noun,home,
ko-0209,천장,ceiling,天井,plafond,noun,home,
ko-0210,침대,bed,ベッド,bed,noun,home,
ko-0211,의자,chair,椅子,stoel,noun,home,
ko-0212,책상,desk,机,bureau,noun,home,
ko-0213,탁자,table,テーブル,tafel,noun,home,
ko-0214,소파,sofa,ソファ,bank; sofa,noun,home,
ko-0215,옷,clothes,服,kleren,noun,home,
ko-0216,신발,shoes,靴,schoenen,noun,home,
ko-0217,가방,bag,かばん,tas,noun,home,
ko-0218,지갑,wallet,財布,portemonnee,noun,home,
ko-0219,열쇠,key,鍵,sleutel,noun,home,
ko-0220,시계,clock; watch,時計,klok; horloge,noun,home,
ko-0221,전화,phone,電話,telefoon,noun,home,
ko-0222,휴대폰,mobile phone,携帯電話,mobiele telefoon,noun,home,
ko-0223,컴퓨터,computer,コンピューター,computer,noun,home,
ko-0224,텔레비전,television,テレビ,televisie,noun,home,
ko-0225,책,book,本,boek,noun,home,
ko-0226,종이,paper,紙,papier,noun,home,
ko-0227,펜,pen,ペン,pen,noun,home,
ko-0228,사진,photo,写真,foto,noun,home,
ko-0229,그림,picture; drawing,絵,afbeelding; tekening,noun,home,
ko-0230,음악,music,音楽,muziek,noun,home,
ko-0231,영화,movie,映画,film,noun,home,
ko-0232,게임,game,ゲーム,spel,noun,home,
ko-0233,선물,gift,プレゼント,cadeau,noun,home,
ko-0234,약,medicine,薬,medicijn,noun,health,
ko-0235,동전,coin,硬貨,munt,noun,money,
ko-0236,우산,umbrella,傘,paraplu,noun,home,
ko-0237,안경,glasses,眼鏡,bril,noun,home,
ko-0238,모자,hat,帽子,hoed,noun,clothing,
ko-0239,셔츠,shirt,シャツ,shirt; overhemd,noun,clothing,
ko-0240,바지,pants,ズボン,broek,noun,clothing,
ko-0241,치마,skirt,スカート,rok,noun,clothing,
ko-0242,코트,coat,コート,jas,noun,clothing,
