event_id,created_at,game_id,session_id,id,result,response_ms,prompt_language,answer_language,metadata_json
9b68a79d-e2b7-448f-a295-b2a509c8875f,2026-05-25T13:13:15.542Z,matching,matching-20260525131304645-27e686,ko-0060,correct,1,korean,english,"{""selected_id"":""ko-0060"",""board_id"":""929e59e4-5c4d-448b-8da7-0fa6e3032261"",""challenge_id"":""""}"
5f10660b-c0ef-4348-b0fb-d190f2835991,2026-05-25T13:13:19.598Z,matching,matching-20260525131304645-27e686,ko-0194,correct,1887,korean,english,"{""selected_id"":""ko-0194"",""board_id"":""929e59e4-5c4d-448b-8da7-0fa6e3032261"",""challenge_id"":""""}"
7b4e03d7-4388-4f7e-80b9-502491bb41b0,2026-05-25T13:13:27.895Z,matching,matching-20260525131304645-27e686,ko-0427,correct,7085,korean,english,"{""selected_id"":""ko-0427"",""board_id"":""929e59e4-5c4d-448b-8da7-0fa6e3032261"",""challenge_id"":""""}"
06204d1c-08b8-4814-9e2e-5c662679db3e,2026-05-25T13:13:39.080Z,matching,matching-20260525131304645-27e686,ko-0262,correct,1987,korean,english,"{""selected_id"":""ko-0262"",""board_id"":""1bc5b22d-da1b-43ff-86da-b57bb13494c5"",""challenge_id"":""""}"
757e2359-6798-4224-9304-2361444e894c,2026-05-25T13:13:43.354Z,matching,matching-20260525131304645-27e686,ko-0300,correct,3105,korean,english,"{""selected_id"":""ko-0300"",""board_id"":""1bc5b22d-da1b-43ff-86da-b57bb13494c5"",""challenge_id"":""""}"
256a0eb4-4531-4ca1-b518-7f9df3f1917d,2026-05-25T13:13:48.712Z,matching,matching-20260525131304645-27e686,ko-0081,correct,3938,korean,english,"{""selected_id"":""ko-0081"",""board_id"":""1bc5b22d-da1b-43ff-86da-b57bb13494c5"",""challenge_id"":""""}"
9c31ace8-0b19-4878-8e26-d614ce1c2dfd,2026-05-25T13:13:58.471Z,matching,matching-20260525131304645-27e686,ko-0490,wrong,8877,korean,english,"{""selected_id"":""ko-0452"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
83c4a416-ade1-4d03-ab8b-2d85448aebbb,2026-05-25T13:14:06.645Z,matching,matching-20260525131304645-27e686,ko-0490,wrong,5981,korean,english,"{""selected_id"":""ko-0441"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
89aecb26-2046-4698-ac65-75cbbb933eba,2026-05-25T13:14:08.382Z,matching,matching-20260525131304645-27e686,ko-0490,wrong,420,korean,english,"{""selected_id"":""ko-0188"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
b954ae2c-feaa-45a0-9815-cecdb8f1b2f9,2026-05-25T13:14:54.186Z,matching,matching-20260525131304645-27e686,ko-0490,correct,44505,korean,group,"{""selected_id"":""ko-0490"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
e2806b57-209b-42e1-85af-9f1ad6b86b5f,2026-05-25T13:14:57.260Z,matching,matching-20260525131304645-27e686,ko-0188,correct,1428,korean,group,"{""selected_id"":""ko-0188"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
7d38d549-5774-4cda-b934-92a258684930,2026-05-25T13:15:05.361Z,matching,matching-20260525131304645-27e686,ko-0107,correct,0,korean,group,"{""selected_id"":""ko-0107"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
e039618c-7b0c-4d44-bff3-154a01a241ae,2026-05-25T13:21:43.599Z,matching,matching-20260525132130455-5f995a,ko-0039,correct,2,korean,english,"{""selected_id"":""ko-0039"",""board_id"":""325dcb78-9c27-4cdc-b3dd-17ca8ca932b3"",""challenge_id"":""""}"
84cb8d78-ab5f-4f1e-af42-9280eca98bb4,2026-05-25T13:21:46.824Z,matching,matching-20260525132130455-5f995a,ko-0196,correct,2310,korean,english,"{""selected_id"":""ko-0196"",""board_id"":""325dcb78-9c27-4cdc-b3dd-17ca8ca932b3"",""challenge_id"":""""}"
a42a7afe-2009-4107-8240-c2305d34e208,2026-05-25T13:21:50.326Z,matching,matching-20260525132130455-5f995a,ko-0142,correct,2900,korean,english,"{""selected_id"":""ko-0142"",""board_id"":""325dcb78-9c27-4cdc-b3dd-17ca8ca932b3"",""challenge_id"":""""}"
6f5efc9d-954a-46f0-90b3-70c67a2c5040,2026-05-25T13:21:53.763Z,matching,matching-20260525132130455-5f995a,ko-0287,correct,2382,korean,english,"{""selected_id"":""ko-0287"",""board_id"":""9ad8d8a6-55a2-41b5-9336-44162b629cd0"",""challenge_id"":""""}"
714470f7-1aca-4896-8c61-f7d239867759,2026-05-25T13:21:55.689Z,matching,matching-20260525132130455-5f995a,ko-0029,correct,1135,korean,english,"{""selected_id"":""ko-0029"",""board_id"":""9ad8d8a6-55a2-41b5-9336-44162b629cd0"",""challenge_id"":""""}"
4a47066b-abf3-422e-90ab-9a28161f29c7,2026-05-25T13:21:57.940Z,matching,matching-20260525132130455-5f995a,ko-0382,correct,1388,korean,english,"{""selected_id"":""ko-0382"",""board_id"":""9ad8d8a6-55a2-41b5-9336-44162b629cd0"",""challenge_id"":""""}"
9d9ccaa6-c158-4da6-9f5f-25638a0c3525,2026-05-25T13:22:02.971Z,matching,matching-20260525132130455-5f995a,ko-0366,correct,4339,korean,english,"{""selected_id"":""ko-0366"",""board_id"":""d4e7f845-23b4-4387-bbb7-2242d5050767"",""challenge_id"":""""}"
444b70ee-917f-473b-be00-0befa1ebd1fe,2026-05-25T13:22:07.324Z,matching,matching-20260525132130455-5f995a,ko-0093,correct,3439,korean,english,"{""selected_id"":""ko-0093"",""board_id"":""d4e7f845-23b4-4387-bbb7-2242d5050767"",""challenge_id"":""""}"
b02c6e13-d334-4c3f-8f12-b5decce882d1,2026-05-25T13:22:12.336Z,matching,matching-20260525132130455-5f995a,ko-0249,correct,2,korean,english,"{""selected_id"":""ko-0249"",""board_id"":""d4e7f845-23b4-4387-bbb7-2242d5050767"",""challenge_id"":""""}"
4946232f-37c8-4a83-9292-c2674d0c07f7,2026-05-25T13:22:20.437Z,matching,matching-20260525132130455-5f995a,ko-0179,correct,7368,korean,group,"{""selected_id"":""ko-0179"",""board_id"":""eda51734-25b8-4f9d-b9ee-8df59f6602a0"",""challenge_id"":""""}"
fa034308-3644-4876-8e52-a3f2c819f7f4,2026-05-25T13:22:24.697Z,matching,matching-20260525132130455-5f995a,ko-0234,correct,3534,korean,group,"{""selected_id"":""ko-0234"",""board_id"":""eda51734-25b8-4f9d-b9ee-8df59f6602a0"",""challenge_id"":""""}"
f33553cc-0a54-45c8-afbf-9b3b856bbcd3,2026-05-25T13:22:35.408Z,matching,matching-20260525132130455-5f995a,ko-0452,wrong,10105,korean,group,"{""selected_id"":""ko-0320"",""board_id"":""eda51734-25b8-4f9d-b9ee-8df59f6602a0"",""challenge_id"":""""}"
3a72524e-0d15-4df9-8dd7-64925482bb4e,2026-05-25T13:22:41.743Z,matching,matching-20260525132130455-5f995a,ko-0110,correct,3656,korean,group,"{""selected_id"":""ko-0110"",""board_id"":""eda51734-25b8-4f9d-b9ee-8df59f6602a0"",""challenge_id"":""""}"
82aa0065-7d44-41e0-bbea-6f8ccc8552c5,2026-05-25T13:22:43.479Z,matching,matching-20260525132130455-5f995a,ko-0102,correct,1133,korean,group,"{""selected_id"":""ko-0102"",""board_id"":""ae62d2e0-adee-4c88-aa23-7d62e149c078"",""challenge_id"":""""}"
4c566f91-d66a-4adb-b549-68bda5fa2c61,2026-05-25T13:22:51.845Z,matching,matching-20260525132130455-5f995a,ko-0320,wrong,7827,korean,group,"{""selected_id"":""ko-0319"",""board_id"":""ae62d2e0-adee-4c88-aa23-7d62e149c078"",""challenge_id"":""""}"
428a06bd-3da9-44ab-bf71-1d85a8424d21,2026-05-25T13:22:58.038Z,matching,matching-20260525132130455-5f995a,ko-0112,correct,5178,korean,group,"{""selected_id"":""ko-0112"",""board_id"":""ae62d2e0-adee-4c88-aa23-7d62e149c078"",""challenge_id"":""""}"
