id,word_ids,korean,dutch
s-0001,ko-0002|ko-0061|ko-0142|ko-0186,저는 오늘 밥을 먹어요.,Ik eet vandaag rijst.
s-0002,ko-0005|ko-0143|ko-0187,우리는 물을 마셔요.,Wij drinken water.
s-0003,ko-0013|ko-0201|ko-0307,친구가 집에 와요.,Een vriend komt naar huis.
s-0004,ko-0028|ko-0261|ko-0306,학생이 학교에 가요.,De student gaat naar school.
s-0005,ko-0012|ko-0274|ko-0311,아이가 공원에서 뛰어요.,Het kind rent in het park.
s-0006,ko-0002|ko-0225|ko-0412,저는 책을 읽어요.,Ik lees een boek.
s-0007,ko-0008|ko-0230|ko-0414,그녀는 음악을 들어요.,Zij luistert naar muziek.
s-0008,ko-0002|ko-0231|ko-0416,저는 영화를 봐요.,Ik kijk een film.
s-0009,ko-0013|ko-0437,친구가 전화해요.,Een vriend belt.
s-0010,ko-0002|ko-0145|ko-0187,저는 커피를 마셔요.,Ik drink koffie.
s-0011,ko-0005|ko-0192|ko-0159|ko-0186,우리는 식당에서 김치를 먹어요.,Wij eten kimchi in het restaurant.
s-0012,ko-0017|ko-0200|ko-0188,어머니가 부엌에서 요리해요.,Moeder kookt in de keuken.
s-0013,ko-0016|ko-0144|ko-0312,아버지가 차를 운전해요.,Vader rijdt auto.
s-0014,ko-0002|ko-0278|ko-0308,저는 버스를 타요.,Ik neem de bus.
s-0015,ko-0005|ko-0276|ko-0280|ko-0315,우리는 역에서 기차를 기다려요.,Wij wachten op de trein bij het station.
s-0016,ko-0013|ko-0269|ko-0162|ko-0190,친구가 시장에서 과일을 사요.,Een vriend koopt fruit op de markt.
s-0017,ko-0268|ko-0215|ko-0191,가게에서 옷을 팔아요.,De winkel verkoopt kleren.
s-0018,ko-0029|ko-0264|ko-0423,의사가 병원에 있어요.,De dokter is in het ziekenhuis.
s-0019,ko-0265|ko-0234|ko-0190,약국에서 약을 사요.,Ik koop medicijnen bij de apotheek.
s-0020,ko-0266|ko-0041|ko-0423,은행은 여기 있어요.,De bank is hier.
s-0021,ko-0272|ko-0225|ko-0412,도서관에서 책을 읽어요.,Ik lees een boek in de bibliotheek.
s-0022,ko-0273|ko-0009|ko-0130|ko-0423,박물관에 사람이 많아요.,Er zijn veel mensen in het museum.
s-0023,ko-0289|ko-0295|ko-0290|ko-0423,바다 옆에 산이 있어요.,Er is een berg naast de zee.
s-0024,ko-0291|ko-0294|ko-0288|ko-0423,강 뒤에 마을이 있어요.,Achter de rivier ligt een dorp.
s-0025,ko-0321|ko-0324|ko-0423,하늘에 구름이 있어요.,Er zijn wolken aan de hemel.
s-0026,ko-0061|ko-0325|ko-0307|ko-0359,오늘 비가 와요.,Vandaag regent het.
